0 [138917083256768] INFO perfrun.launcher <> - Launcher main begin
1 [138917083256768] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [138917083256768] INFO perfrun.launcher <> - Launcher instance created
1 [138917083256768] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.4/bin64/advixe-runss --ui-output-format xml --ui-output-fd 199 --context-value-list 
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 6.17.0-14-generic
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = None
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 0
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPDriverAvailable; value = false
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPMICDriverAvailable; value = false
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isNMIWatchDogTimerRunning; value = false
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU_NAME; value = Unknown
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU; value = Unknown
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PMU; value = Unknown
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = platformType; value = 0
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = referenceFrequency; value = 4691155000
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
29 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
29 [138917083256768] INFO perfrun.launcher <> - Application exit code: 0
29 [138917083256768] INFO perfrun.launcher <> - Exit code: 0
